text,label
"Your account has been suspended. Click here to verify.",1
"Win a free iPhone now! Claim your prize.",1
"Important: Update your account information immediately.",1
"Your Amazon order has been shipped.",0
"Meeting invitation: Join us at 3 PM tomorrow.",0
"Your subscription has been successfully renewed.",0
"Verify your account to avoid suspension.",1
"Congratulations! You are the lucky winner of $1000.",1
"Invoice for your recent purchase is attached.",0
"Your bank statement is ready to view online.",0